video,arm,budget_pct,seed,n_frames,n_windows,n_gold,n_admitted,M1,M2,M3,note
Arson007,D_random,5.0,3,6252,1,3451,312,1.0,0.05013039698638076,0.5544871794871795,
Arson007,D_random,5.0,4,6252,1,3451,312,1.0,0.049550854824688496,0.5480769230769231,
Arson007,C_uniform,10.0,,6252,1,3451,625,1.0,0.09997102289191538,0.552,
Arson007,D_random,10.0,0,6252,1,3451,625,1.0,0.10315850478122283,0.5696,
Arson007,D_random,10.0,1,6252,1,3451,625,1.0,0.10170964937699217,0.5616,
Arson007,D_random,10.0,2,6252,1,3451,625,1.0,0.09968125181106925,0.5504,
Arson007,D_random,10.0,3,6252,1,3451,625,1.0,0.10315850478122283,0.5696,
Arson007,D_random,10.0,4,6252,1,3451,625,1.0,0.09910170964937699,0.5472,
Arson007,C_uniform,10.5,,6252,1,3451,656,1.0,0.10489713126629963,0.551829268292683,
Arson007,D_random,10.5,0,6252,1,3451,656,1.0,0.11040278180237613,0.5807926829268293,
Arson007,D_random,10.5,1,6252,1,3451,656,1.0,0.10576644450883801,0.5564024390243902,
Arson007,D_random,10.5,2,6252,1,3451,656,1.0,0.10489713126629963,0.551829268292683,
Arson007,D_random,10.5,3,6252,1,3451,656,1.0,0.10605621558968414,0.5579268292682927,
Arson007,D_random,10.5,4,6252,1,3451,656,1.0,0.10431758910460737,0.5487804878048781,
Arson007,C_uniform,20.0,,6252,1,3451,1250,1.0,0.19994204578383076,0.552,
Arson007,D_random,20.0,0,6252,1,3451,1250,1.0,0.20689655172413793,0.5712,
Arson007,D_random,20.0,1,6252,1,3451,1250,1.0,0.2039988409156766,0.5632,
Arson007,D_random,20.0,2,6252,1,3451,1250,1.0,0.20081135902636918,0.5544,
Arson007,D_random,20.0,3,6252,1,3451,1250,1.0,0.19762387713706173,0.5456,
Arson007,D_random,20.0,4,6252,1,3451,1250,1.0,0.2011011301072153,0.5552,
Arson007,C_uniform,30.0,,6252,1,3451,1875,1.0,0.29962329759490003,0.5514666666666667,
Arson007,D_random,30.0,0,6252,1,3451,1875,1.0,0.31092436974789917,0.5722666666666667,
Arson007,D_random,30.0,1,6252,1,3451,1875,1.0,0.2909301651695161,0.5354666666666666,
Arson007,D_random,30.0,2,6252,1,3451,1875,1.0,0.2999130686757462,0.552,
Arson007,D_random,30.0,3,6252,1,3451,1875,1.0,0.292958562735439,0.5392,
Arson007,D_random,30.0,4,6252,1,3451,1875,1.0,0.29933352651405387,0.5509333333333334,
Arson009,A_production,11.0363,,743,1,96,82,1.0,0.125,0.14634146341463414,natural retention
Arson009,B_recomputed,11.0363,,743,1,96,82,1.0,0.34375,0.4024390243902439,topk@11.04%; charon_retention=11.04%
Arson009,C_uniform,5.0,,743,1,96,37,1.0,0.052083333333333336,0.13513513513513514,
Arson009,D_random,5.0,0,743,1,96,37,1.0,0.010416666666666666,0.02702702702702703,
Arson009,D_random,5.0,1,743,1,96,37,1.0,0.0625,0.16216216216216217,
Arson009,D_random,5.0,2,743,1,96,37,1.0,0.052083333333333336,0.13513513513513514,
Arson009,D_random,5.0,3,743,1,96,37,1.0,0.0625,0.16216216216216217,
Arson009,D_random,5.0,4,743,1,96,37,1.0,0.041666666666666664,0.10810810810810811,
Arson009,C_uniform,10.0,,743,1,96,74,1.0,0.10416666666666667,0.13513513513513514,
Arson009,D_random,10.0,0,743,1,96,74,1.0,0.09375,0.12162162162162163,
Arson009,D_random,10.0,1,743,1,96,74,1.0,0.10416666666666667,0.13513513513513514,
Arson009,D_random,10.0,2,743,1,96,74,1.0,0.11458333333333333,0.14864864864864866,
Arson009,D_random,10.0,3,743,1,96,74,1.0,0.08333333333333333,0.10810810810810811,
Arson009,D_random,10.0,4,743,1,96,74,1.0,0.08333333333333333,0.10810810810810811,
Arson009,C_uniform,10.5,,743,1,96,78,1.0,0.10416666666666667,0.1282051282051282,
Arson009,D_random,10.5,0,743,1,96,78,1.0,0.09375,0.11538461538461539,
Arson009,D_random,10.5,1,743,1,96,78,1.0,0.11458333333333333,0.14102564102564102,
Arson009,D_random,10.5,2,743,1,96,78,1.0,0.11458333333333333,0.14102564102564102,
Arson009,D_random,10.5,3,743,1,96,78,1.0,0.09375,0.11538461538461539,
Arson009,D_random,10.5,4,743,1,96,78,1.0,0.08333333333333333,0.10256410256410256,
Arson009,C_uniform,20.0,,743,1,96,148,1.0,0.19791666666666666,0.12837837837837837,
Arson009,D_random,20.0,0,743,1,96,148,1.0,0.21875,0.14189189189189189,
Arson009,D_random,20.0,1,743,1,96,148,1.0,0.22916666666666666,0.14864864864864866,
Arson009,D_random,20.0,2,743,1,96,148,1.0,0.19791666666666666,0.12837837837837837,
Arson009,D_random,20.0,3,743,1,96,148,1.0,0.1875,0.12162162162162163,
Arson009,D_random,20.0,4,743,1,96,148,1.0,0.19791666666666666,0.12837837837837837,
Arson009,C_uniform,30.0,,743,1,96,222,1.0,0.2916666666666667,0.12612612612612611,
Arson009,D_random,30.0,0,743,1,96,222,1.0,0.34375,0.14864864864864866,
Arson009,D_random,30.0,1,743,1,96,222,1.0,0.3229166666666667,0.13963963963963963,
Arson009,D_random,30.0,2,743,1,96,222,1.0,0.3229166666666667,0.13963963963963963,
Arson009,D_random,30.0,3,743,1,96,222,1.0,0.2916666666666667,0.12612612612612611,
Arson009,D_random,30.0,4,743,1,96,222,1.0,0.3541666666666667,0.15315315315315314,
Assault006,A_production,10.4249,,8096,1,6911,844,1.0,0.10418173925625814,0.8530805687203792,natural retention
Assault006,B_recomputed,10.4249,,8096,1,6911,844,1.0,0.07770221386195919,0.6362559241706162,topk@10.42%; charon_retention=10.42%
Assault006,C_uniform,5.0,,8096,1,6911,404,1.0,0.049920416726957025,0.8539603960396039,
Assault006,D_random,5.0,0,8096,1,6911,404,1.0,0.049196932426566344,0.8415841584158416,
Assault006,D_random,5.0,1,8096,1,6911,404,1.0,0.0502098104471133,0.8589108910891089,
Assault006,D_random,5.0,2,8096,1,6911,404,1.0,0.049920416726957025,0.8539603960396039,
Assault006,D_random,5.0,3,8096,1,6911,404,1.0,0.0502098104471133,0.8589108910891089,
Assault006,D_random,5.0,4,8096,1,6911,404,1.0,0.05006511358703516,0.8564356435643564,
Assault006,C_uniform,10.0,,8096,1,6911,809,1.0,0.09984083345391405,0.8529048207663782,
Assault006,D_random,10.0,0,8096,1,6911,809,1.0,0.10013022717407032,0.8553770086526576,
Assault006,D_random,10.0,1,8096,1,6911,809,1.0,0.09940674287367963,0.8491965389369592,
Assault006,D_random,10.0,2,8096,1,6911,809,1.0,0.10172189263492983,0.8689740420271941,
Assault006,D_random,10.0,3,8096,1,6911,809,1.0,0.10085371147446101,0.861557478368356,
Assault006,D_random,10.0,4,8096,1,6911,809,1.0,0.10013022717407032,0.8553770086526576,
Assault006,C_uniform,10.5,,8096,1,6911,850,1.0,0.10490522355664882,0.8529411764705882,
Assault006,D_random,10.5,0,8096,1,6911,850,1.0,0.1056287078570395,0.8588235294117647,
Assault006,D_random,10.5,1,8096,1,6911,850,1.0,0.10476052669657068,0.851764705882353,
Assault006,D_random,10.5,2,8096,1,6911,850,1.0,0.10693097959774273,0.8694117647058823,
