cell_id,method,params,n_scored,gold_at_4,mIoP,mIoU,IoP@0.3,IoP@0.5,IoU@0.3,IoU@0.5,zero_width_count,zero_width_rate,clip_anchor_fallback_rate,degenerate_fallback_rate,weight_fallback_rate,mean_width,median_width,p10_width,p90_width,structurally_barred_count,mIoP_<2s,mIoU_<2s,n_<2s,mIoP_2-5s,mIoU_2-5s,n_2-5s,mIoP_5-10s,mIoU_5-10s,n_5-10s,mIoP_>=10s,mIoU_>=10s,n_>=10s,mIoP_CW,mIoU_CW,n_CW,mIoP_CH,mIoU_CH,n_CH,mIoP_TN,mIoU_TN,n_TN,mIoP_TC,mIoU_TC,n_TC,mIoP_TP,mIoU_TP,n_TP,elapsed_ms
16,E,"{""tau"": 0.4, ""w_min"": 1.4, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.2905706305503909,0.2004328509670101,0.3780260707635009,0.25884543761638734,0.293854748603352,0.14674115456238362,0,0.0,0.0,0.0,,9.405310699439353,8.0,2.3356666666666666,20.0,1036,0.09136751484946301,0.08807156239137642,278,0.1865805307361338,0.15871178644469178,1125,0.33565714856779694,0.2527861839554552,731,0.5435816719027925,0.27285090794900807,551,,,0,,,0,,,0,,,0,,,0,
17,E,"{""tau"": 0.4, ""w_min"": 1.8, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.28942967778606915,0.2003718828643602,0.3780260707635009,0.2573556797020484,0.2942271880819367,0.14674115456238362,0,0.0,0.0,0.0,,9.419208675317154,8.0,2.3356666666666666,20.0,1038,0.0889929305847061,0.08495414426426147,278,0.18449942624221,0.15836478808743717,1125,0.33546144257856275,0.2538162488229143,731,0.5437286408450667,0.2734685823909713,551,,,0,,,0,,,0,,,0,,,0,
18,E,"{""tau"": 0.4, ""w_min"": 2.2, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.2889658824083378,0.20131911707082725,0.3780260707635009,0.25623836126629423,0.2957169459962756,0.14934823091247673,0,0.0,0.0,0.0,,9.440184505507991,8.0,2.3356666666666666,20.0,1038,0.08811094331302367,0.085153585005038,278,0.1844577512750369,0.15987819269125061,1125,0.3343343116819977,0.25471372784906265,731,0.5434940108918506,0.27370314132204887,551,,,0,,,0,,,0,,,0,,,0,
19,E,"{""tau"": 0.5, ""w_min"": 0.6, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.30052237802220744,0.17824351418207612,0.3702048417132216,0.28268156424581004,0.2595903165735568,0.12998137802607077,0,0.0,0.0,0.0,,7.089390623230306,5.3053,1.4013999999999989,16.393839999999994,720,0.09960245875897504,0.08998393349366628,278,0.2018318456270261,0.1510962411388513,1125,0.34512101251686045,0.21751086575832207,731,0.544226524454451,0.22610633015806544,551,,,0,,,0,,,0,,,0,,,0,
20,E,"{""tau"": 0.5, ""w_min"": 1.0, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.30036938762854437,0.1794532249760031,0.3713221601489758,0.28305400372439476,0.2610800744878957,0.1303538175046555,0,0.0,0.0,0.0,,7.107489402298015,5.3053,1.4013999999999989,16.393839999999994,720,0.09774683720227437,0.09086391093121617,278,0.20132514680196956,0.1523919692911774,1125,0.34516005763780905,0.21895395081040447,731,0.5453999868510985,0.22699716574720497,551,,,0,,,0,,,0,,,0,,,0,
21,E,"{""tau"": 0.5, ""w_min"": 1.4, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.2995304216466577,0.180786470366908,0.3702048417132216,0.2823091247672253,0.2633147113594041,0.13072625698324022,0,0.0,0.0,0.0,,7.135689783486155,5.3053,1.4013999999999989,16.393839999999994,720,0.09798700449282337,0.09222660471359287,278,0.19966478939339233,0.15381044083150194,1125,0.3443612291346029,0.22048048873992912,731,0.5456403780531942,0.22788510638918577,551,,,0,,,0,,,0,,,0,,,0,
22,E,"{""tau"": 0.5, ""w_min"": 1.8, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.29866815286118564,0.18200747137946555,0.3713221601489758,0.2811918063314711,0.26666666666666666,0.1318435754189944,0,0.0,0.0,0.0,,7.175080838815227,5.3053,1.8000000000000007,16.393839999999994,722,0.0954166887756916,0.08953883803541993,278,0.19843992485127981,0.1554050581467966,1125,0.3429662823353045,0.22256573575712807,731,0.5470869021920939,0.22916882110056522,551,,,0,,,0,,,0,,,0,,,0,
23,E,"{""tau"": 0.5, ""w_min"": 2.2, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.29805980985201913,0.18392460076897357,0.37206703910614525,0.28007448789571693,0.27039106145251396,0.13445065176908752,0,0.0,0.0,0.0,,7.230079137194302,5.3053,2.1999999999999993,16.393839999999994,725,0.09650672895524845,0.09137498833752851,278,0.19696154661281037,0.1571953401506143,1125,0.3430095696052867,0.225604501283112,731,0.5465335453398114,0.22989774627852125,551,,,0,,,0,,,0,,,0,,,0,
24,E,"{""tau"": 0.6, ""w_min"": 0.6, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.30711744472227387,0.14838418255809385,0.36201117318435755,0.3031657355679702,0.21080074487895717,0.11135940409683426,0,0.0,0.0,0.0,,4.809682571910831,3.2399999999999993,0.6006,11.07534666666666,400,0.10092988139631914,0.0808983208299475,278,0.2114005296895708,0.1323227638413354,1125,0.35291853826535274,0.18148766641609795,731,0.5458126763673113,0.1713088992850937,551,,,0,,,0,,,0,,,0,,,0,
25,E,"{""tau"": 0.6, ""w_min"": 1.0, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.30679564712201823,0.15134001855989815,0.36312849162011174,0.30353817504655495,0.2148975791433892,0.11359404096834265,0,0.0,0.0,0.0,,4.855261886271746,3.2399999999999993,1.0,11.07534666666666,400,0.100315948682769,0.08596060724291077,278,0.21053281156830078,0.13559673465728891,1125,0.3532298424435581,0.18434621413567798,731,0.5459129781274589,0.1726814736790684,551,,,0,,,0,,,0,,,0,,,0,
26,E,"{""tau"": 0.6, ""w_min"": 1.4, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.30568118659966165,0.15480899927244784,0.36350093109869647,0.3031657355679702,0.2223463687150838,0.11582867783985103,0,0.0,0.0,0.0,,4.9221846178611885,3.2399999999999993,1.3999999999999986,11.07534666666666,401,0.09853156646756381,0.08813376093824361,278,0.20970405329768455,0.14054470833331853,1125,0.35046831920471305,0.18735349462575013,731,0.5467383107868757,0.17439705273917264,551,,,0,,,0,,,0,,,0,,,0,
27,E,"{""tau"": 0.6, ""w_min"": 1.8, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.30576807723763977,0.15897545993183962,0.36834264432029795,0.3042830540037244,0.23128491620111732,0.12029795158286778,0,0.0,0.0,0.0,,5.0128450189761455,3.2399999999999993,1.7999999999999972,11.07534666666666,404,0.09575017544109282,0.08712114891191901,278,0.21056180008146047,0.14659320938933812,1125,0.3502174581736955,0.1919153328871117,731,0.5471465546167414,0.17680936772412317,551,,,0,,,0,,,0,,,0,,,0,
28,E,"{""tau"": 0.6, ""w_min"": 2.2, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.30592462838792267,0.16440316102858232,0.3716945996275605,0.30502793296089387,0.2409683426443203,0.12737430167597766,0,0.0,0.0,0.0,,5.128162232300581,3.2399999999999993,2.1999999999999993,11.07534666666666,413,0.09546094383639828,0.0899887802940611,278,0.21139640806234294,0.15436473047374624,1125,0.35021686613821906,0.19694908345616335,731,0.5463520809761883,0.1792658886580302,551,,,0,,,0,,,0,,,0,,,0,
29,E,"{""tau"": 0.7, ""w_min"": 0.6, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.31539421969504117,0.11215639886137378,0.35195530726256985,0.315828677839851,0.14934823091247673,0.07225325884543761,0,0.0,0.0,0.0,,2.8969007135534044,1.8017999999999998,0.6000000000000001,6.840099999999999,209,0.1048315647656234,0.07262908058151561,278,0.22062176488076563,0.11051567945401404,1125,0.36374584307070573,0.13292755709506265,731,0.550984769692913,0.10789267317399395,551,,,0,,,0,,,0,,,0,,,0,
30,E,"{""tau"": 0.7, ""w_min"": 1.0, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.3154872943732448,0.11856537206070862,0.3560521415270019,0.31769087523277467,0.1590316573556797,0.07672253258845438,0,0.0,0.0,0.0,,3.0014636418168634,1.8017999999999998,1.0,6.840099999999999,209,0.10495611585578114,0.08282328233124103,278,0.22068118360532774,0.11834690374742685,1125,0.36275292955879285,0.13827769240382667,731,0.5525714376057783,0.11089272528469168,551,,,0,,,0,,,0,,,0,,,0,
31,E,"{""tau"": 0.7, ""w_min"": 1.4, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.3142883355712966,0.12547421009399728,0.3590316573556797,0.31843575418994413,0.17281191806331472,0.08193668528864059,0,0.0,0.0,0.0,,3.141668473010565,1.8017999999999998,1.3999999999999986,6.840099999999999,211,0.10128851216634725,0.08641800727124835,278,0.21988741343833276,0.1275286103818716,1125,0.36109394210672957,0.14524175702217904,731,0.5524010214674104,0.11475977680246333,551,,,0,,,0,,,0,,,0,,,0,
32,E,"{""tau"": 0.7, ""w_min"": 1.8, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.3140959314144736,0.13326385722876535,0.3638733705772812,0.31843575418994413,0.18957169459962755,0.08864059590316574,0,0.0,0.0,0.0,,3.3130860684520647,1.8017999999999998,1.7999999999999972,6.840099999999999,218,0.10043642832045445,0.0896313064008927,278,0.22050703263477983,0.13769060118840915,1125,0.36028215996777596,0.15354260636511805,731,0.5517052234559051,0.11933644626120726,551,,,0,,,0,,,0,,,0,,,0,
33,E,"{""tau"": 0.7, ""w_min"": 2.2, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.31339151252134256,0.14125395787196313,0.36722532588454376,0.3195530726256983,0.2048417132216015,0.09981378026070764,0,0.0,0.0,0.0,,3.5118945660092127,2.200000000000003,2.1999999999999886,6.840099999999999,228,0.09868897578268418,0.09154607856324441,278,0.2193487656169022,0.1473819707083462,1125,0.3606153770790789,0.16311566693222856,731,0.5510770850969092,0.12481814423101721,551,,,0,,,0,,,0,,,0,,,0,
34,E,"{""tau"": 0.8, ""w_min"": 0.6, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.31974403994813905,0.07350293745591975,0.3426443202979516,0.3206703910614525,0.08044692737430167,0.034636871508379886,0,0.0,0.0,0.0,,1.4977499035689938,0.7499999999999998,0.5999999999999943,3.0230212012011988,56,0.12103790633033727,0.06900188132820535,278,0.22464707788019775,0.07737017353526186,1125,0.36489556906040327,0.08337397047480662,731,0.5542605911116922,0.054782298395009435,551,,,0,,,0,,,0,,,0,,,0,
