video,arm,budget_pct,seed,n_frames,n_shots,n_windows,n_gold,n_admitted,M1,M2,M3,note
Abuse030,G_shot2_action,10.0,,1544,55,1,86,154,1.0,0.13953488372093023,0.07792207792207792,floor=110/154 (71.4% of budget)
Abuse030,H_shot1_mid,10.0,,1544,55,1,86,154,1.0,0.10465116279069768,0.05844155844155844,floor=55/154 (35.7% of budget)
Abuse030,I_shot2_mid,10.0,,1544,55,1,86,154,1.0,0.10465116279069768,0.05844155844155844,floor=110/154 (71.4% of budget)
Abuse030,C_uniform,10.5,,1544,55,1,86,162,1.0,0.10465116279069768,0.05555555555555555,
Abuse030,D_random,10.5,0,1544,55,1,86,162,1.0,0.11627906976744186,0.06172839506172839,
Abuse030,D_random,10.5,1,1544,55,1,86,162,1.0,0.10465116279069768,0.05555555555555555,
Abuse030,D_random,10.5,2,1544,55,1,86,162,1.0,0.10465116279069768,0.05555555555555555,
Abuse030,D_random,10.5,3,1544,55,1,86,162,1.0,0.13953488372093023,0.07407407407407407,
Abuse030,D_random,10.5,4,1544,55,1,86,162,1.0,0.16279069767441862,0.08641975308641975,
Abuse030,E_action_topk,10.5,,1544,55,1,86,162,1.0,0.011627906976744186,0.006172839506172839,R0 codec anchor at matched budget
Abuse030,F_shot1_action,10.5,,1544,55,1,86,162,1.0,0.12790697674418605,0.06790123456790123,floor=55/162 (34.0% of budget)
Abuse030,G_shot2_action,10.5,,1544,55,1,86,162,1.0,0.13953488372093023,0.07407407407407407,floor=110/162 (67.9% of budget)
Abuse030,H_shot1_mid,10.5,,1544,55,1,86,162,1.0,0.11627906976744186,0.06172839506172839,floor=55/162 (34.0% of budget)
Abuse030,I_shot2_mid,10.5,,1544,55,1,86,162,1.0,0.10465116279069768,0.05555555555555555,floor=110/162 (67.9% of budget)
Abuse030,C_uniform,20.0,,1544,55,1,86,308,1.0,0.19767441860465115,0.05519480519480519,
Abuse030,D_random,20.0,0,1544,55,1,86,308,1.0,0.26744186046511625,0.07467532467532467,
Abuse030,D_random,20.0,1,1544,55,1,86,308,1.0,0.12790697674418605,0.03571428571428571,
Abuse030,D_random,20.0,2,1544,55,1,86,308,1.0,0.16279069767441862,0.045454545454545456,
Abuse030,D_random,20.0,3,1544,55,1,86,308,1.0,0.2441860465116279,0.06818181818181818,
Abuse030,D_random,20.0,4,1544,55,1,86,308,1.0,0.22093023255813954,0.06168831168831169,
Abuse030,E_action_topk,20.0,,1544,55,1,86,308,1.0,0.011627906976744186,0.003246753246753247,R0 codec anchor at matched budget
Abuse030,F_shot1_action,20.0,,1544,55,1,86,308,1.0,0.23255813953488372,0.06493506493506493,floor=55/308 (17.9% of budget)
Abuse030,G_shot2_action,20.0,,1544,55,1,86,308,1.0,0.2441860465116279,0.06818181818181818,floor=110/308 (35.7% of budget)
Abuse030,H_shot1_mid,20.0,,1544,55,1,86,308,1.0,0.20930232558139536,0.05844155844155844,floor=55/308 (17.9% of budget)
Abuse030,I_shot2_mid,20.0,,1544,55,1,86,308,1.0,0.19767441860465115,0.05519480519480519,floor=110/308 (35.7% of budget)
Abuse030,C_uniform,30.0,,1544,55,1,86,463,1.0,0.3023255813953488,0.056155507559395246,
Abuse030,D_random,30.0,0,1544,55,1,86,463,1.0,0.313953488372093,0.058315334773218146,
Abuse030,D_random,30.0,1,1544,55,1,86,463,1.0,0.313953488372093,0.058315334773218146,
Abuse030,D_random,30.0,2,1544,55,1,86,463,1.0,0.3023255813953488,0.056155507559395246,
Abuse030,D_random,30.0,3,1544,55,1,86,463,1.0,0.38372093023255816,0.07127429805615551,
Abuse030,D_random,30.0,4,1544,55,1,86,463,1.0,0.26744186046511625,0.04967602591792657,
Abuse030,E_action_topk,30.0,,1544,55,1,86,463,1.0,0.3488372093023256,0.06479481641468683,R0 codec anchor at matched budget
Abuse030,F_shot1_action,30.0,,1544,55,1,86,463,1.0,0.37209302325581395,0.06911447084233262,floor=55/463 (11.9% of budget)
Abuse030,G_shot2_action,30.0,,1544,55,1,86,463,1.0,0.38372093023255816,0.07127429805615551,floor=110/463 (23.8% of budget)
Abuse030,H_shot1_mid,30.0,,1544,55,1,86,463,1.0,0.313953488372093,0.058315334773218146,floor=55/463 (11.9% of budget)
Abuse030,I_shot2_mid,30.0,,1544,55,1,86,463,1.0,0.313953488372093,0.058315334773218146,floor=110/463 (23.8% of budget)
Arrest001,A_production,10.4465,,2374,52,1,301,248,1.0,0.12292358803986711,0.14919354838709678,natural retention
Arrest001,C_uniform,5.0,,2374,52,1,301,118,1.0,0.04983388704318937,0.1271186440677966,
Arrest001,D_random,5.0,0,2374,52,1,301,118,1.0,0.05647840531561462,0.1440677966101695,
Arrest001,D_random,5.0,1,2374,52,1,301,118,1.0,0.04318936877076412,0.11016949152542373,
Arrest001,D_random,5.0,2,2374,52,1,301,118,1.0,0.05647840531561462,0.1440677966101695,
Arrest001,D_random,5.0,3,2374,52,1,301,118,1.0,0.04318936877076412,0.11016949152542373,
Arrest001,D_random,5.0,4,2374,52,1,301,118,1.0,0.04983388704318937,0.1271186440677966,
Arrest001,E_action_topk,5.0,,2374,52,1,301,118,1.0,0.009966777408637873,0.025423728813559324,R0 codec anchor at matched budget
Arrest001,F_shot1_action,5.0,,2374,52,1,301,118,1.0,0.019933554817275746,0.05084745762711865,floor=52/118 (44.1% of budget)
Arrest001,G_shot2_action,5.0,,2374,52,1,301,118,1.0,0.019933554817275746,0.05084745762711865,floor=104/118 (88.1% of budget)
Arrest001,H_shot1_mid,5.0,,2374,52,1,301,118,1.0,0.03986710963455149,0.1016949152542373,floor=52/118 (44.1% of budget)
Arrest001,I_shot2_mid,5.0,,2374,52,1,301,118,1.0,0.026578073089700997,0.06779661016949153,floor=104/118 (88.1% of budget)
Arrest001,C_uniform,10.0,,2374,52,1,301,237,1.0,0.09966777408637874,0.12658227848101267,
Arrest001,D_random,10.0,0,2374,52,1,301,237,1.0,0.08970099667774087,0.11392405063291139,
Arrest001,D_random,10.0,1,2374,52,1,301,237,1.0,0.06976744186046512,0.08860759493670886,
Arrest001,D_random,10.0,2,2374,52,1,301,237,1.0,0.10963455149501661,0.13924050632911392,
Arrest001,D_random,10.0,3,2374,52,1,301,237,1.0,0.11960132890365449,0.1518987341772152,
Arrest001,D_random,10.0,4,2374,52,1,301,237,1.0,0.11960132890365449,0.1518987341772152,
Arrest001,E_action_topk,10.0,,2374,52,1,301,237,1.0,0.09634551495016612,0.12236286919831224,R0 codec anchor at matched budget
Arrest001,F_shot1_action,10.0,,2374,52,1,301,237,1.0,0.053156146179401995,0.06751054852320675,floor=52/237 (21.9% of budget)
Arrest001,G_shot2_action,10.0,,2374,52,1,301,237,1.0,0.04318936877076412,0.05485232067510549,floor=104/237 (43.9% of budget)
Arrest001,H_shot1_mid,10.0,,2374,52,1,301,237,1.0,0.08970099667774087,0.11392405063291139,floor=52/237 (21.9% of budget)
Arrest001,I_shot2_mid,10.0,,2374,52,1,301,237,1.0,0.07308970099667775,0.09282700421940929,floor=104/237 (43.9% of budget)
Arrest001,C_uniform,10.5,,2374,52,1,301,249,1.0,0.10631229235880399,0.1285140562248996,
Arrest001,D_random,10.5,0,2374,52,1,301,249,1.0,0.09302325581395349,0.11244979919678715,
Arrest001,D_random,10.5,1,2374,52,1,301,249,1.0,0.07641196013289037,0.09236947791164658,
Arrest001,D_random,10.5,2,2374,52,1,301,249,1.0,0.11295681063122924,0.13654618473895583,
Arrest001,D_random,10.5,3,2374,52,1,301,249,1.0,0.12292358803986711,0.14859437751004015,
Arrest001,D_random,10.5,4,2374,52,1,301,249,1.0,0.12624584717607973,0.15261044176706828,
Arrest001,E_action_topk,10.5,,2374,52,1,301,249,1.0,0.09634551495016612,0.11646586345381527,R0 codec anchor at matched budget
Arrest001,F_shot1_action,10.5,,2374,52,1,301,249,1.0,0.053156146179401995,0.0642570281124498,floor=52/249 (20.9% of budget)
Arrest001,G_shot2_action,10.5,,2374,52,1,301,249,1.0,0.046511627906976744,0.05622489959839357,floor=104/249 (41.8% of budget)
Arrest001,H_shot1_mid,10.5,,2374,52,1,301,249,1.0,0.09302325581395349,0.11244979919678715,floor=52/249 (20.9% of budget)
Arrest001,I_shot2_mid,10.5,,2374,52,1,301,249,1.0,0.07973421926910298,0.0963855421686747,floor=104/249 (41.8% of budget)
Arrest001,C_uniform,20.0,,2374,52,1,301,474,1.0,0.19933554817275748,0.12658227848101267,
Arrest001,D_random,20.0,0,2374,52,1,301,474,1.0,0.19933554817275748,0.12658227848101267,
Arrest001,D_random,20.0,1,2374,52,1,301,474,1.0,0.18604651162790697,0.11814345991561181,
Arrest001,D_random,20.0,2,2374,52,1,301,474,1.0,0.1893687707641196,0.12025316455696203,
Arrest001,D_random,20.0,3,2374,52,1,301,474,1.0,0.23255813953488372,0.14767932489451477,
Arrest001,D_random,20.0,4,2374,52,1,301,474,1.0,0.1760797342192691,0.11181434599156118,
Arrest001,E_action_topk,20.0,,2374,52,1,301,474,1.0,0.11295681063122924,0.07172995780590717,R0 codec anchor at matched budget
Arrest001,F_shot1_action,20.0,,2374,52,1,301,474,1.0,0.10963455149501661,0.06962025316455696,floor=52/474 (11.0% of budget)
Arrest001,G_shot2_action,20.0,,2374,52,1,301,474,1.0,0.09966777408637874,0.06329113924050633,floor=104/474 (21.9% of budget)
Arrest001,H_shot1_mid,20.0,,2374,52,1,301,474,1.0,0.1893687707641196,0.12025316455696203,floor=52/474 (11.0% of budget)
Arrest001,I_shot2_mid,20.0,,2374,52,1,301,474,1.0,0.17275747508305647,0.10970464135021098,floor=104/474 (21.9% of budget)
Arrest001,C_uniform,30.0,,2374,52,1,301,712,1.0,0.3023255813953488,0.12780898876404495,
Arrest001,D_random,30.0,0,2374,52,1,301,712,1.0,0.3222591362126246,0.13623595505617977,
Arrest001,D_random,30.0,1,2374,52,1,301,712,1.0,0.3023255813953488,0.12780898876404495,
Arrest001,D_random,30.0,2,2374,52,1,301,712,1.0,0.2724252491694352,0.1151685393258427,
Arrest001,D_random,30.0,3,2374,52,1,301,712,1.0,0.2956810631229236,0.125,
Arrest001,D_random,30.0,4,2374,52,1,301,712,1.0,0.2691029900332226,0.11376404494382023,
Arrest001,E_action_topk,30.0,,2374,52,1,301,712,1.0,0.26245847176079734,0.11095505617977527,R0 codec anchor at matched budget
