video_id,qid,question_type,question_family,gold_span_length_s,span_bucket,survived,total_frames,survivor_count,retention_pct
6895608152,7,TC,temporal,13.9,long,True,2178,291,13.361
2461993294,9,TN,temporal,3.3,long,True,1999,267,13.357
6291413193,5,TC,temporal,10.0,long,True,1980,264,13.333
6762389913,5,TN,temporal,11.5,long,True,1371,183,13.348
8455160795,5,CW,causal,1.7,short,True,600,80,13.333
5138093706,3,CH,causal,3.3,long,True,931,125,13.426
10042935613,8,TN,temporal,4.5,long,True,1710,200,11.696
5803861992,6,TC,temporal,69.3,long,True,2145,290,13.52
6896884547,3,TC,temporal,45.0,long,True,1440,192,13.333
4765564263,0,CW,causal,10.5,long,True,420,56,13.333
7786283208,6,CH,causal,2.0,short,True,636,86,13.522
6143391925,4,CW,causal,8.8,long,True,1206,162,13.433
9088819598,7,CW,causal,6.8,long,True,670,70,10.448
3972259774,7,CW,causal,2.0,short,True,1063,143,13.452
4838113006,6,TN,temporal,15.7,long,True,2697,360,13.348
8575881495,7,TN,temporal,4.5,long,True,2000,267,13.35
8604794910,3,CW,causal,4.6,long,True,405,55,13.58
5134317883,8,TN,temporal,2.4,short,True,1890,252,13.333
2435633172,2,TC,temporal,8.2,long,True,2293,307,13.389
6642268693,0,CW,causal,1.1,short,True,1143,154,13.473
7999756100,2,CW,causal,17.5,long,True,618,83,13.43
3821781616,2,CW,causal,3.9,long,True,745,100,13.423
8211075660,1,TC,temporal,17.9,long,True,1621,217,13.387
3359075894,2,CW,causal,1.9,short,True,414,56,13.527
5607805258,3,CW,causal,8.8,long,True,718,96,13.37
5662041273,4,CW,causal,17.4,long,True,2697,361,13.385
4968805923,2,CW,causal,1.6,short,True,313,43,13.738
4612723694,0,CW,causal,25.3,long,True,1681,225,13.385
5256928210,0,TC,temporal,17.4,long,True,606,82,13.531
3655906094,0,CW,causal,1.9,short,True,563,76,13.499
8797589693,6,CH,causal,3.3,long,True,2699,289,10.708
7605329840,4,TN,temporal,2.4,short,True,635,86,13.543
2623954636,5,TC,temporal,3.6,long,True,931,127,13.641
5064681723,6,TC,temporal,2.8,long,True,602,82,13.621
7453733046,0,CW,causal,4.0,long,True,992,134,13.508
6786501294,8,TC,temporal,5.3,long,True,1806,242,13.4
4859057828,2,TN,temporal,2.6,long,True,647,87,13.447
2435633172,0,TN,temporal,2.6,long,True,2293,307,13.389
4251505427,4,CW,causal,2.6,long,True,2290,306,13.362
10309542255,6,CW,causal,7.3,long,True,2566,300,11.691
5296635780,5,CW,causal,2.5,short,True,652,88,13.497
7492398760,4,CW,causal,9.5,long,True,2697,361,13.385
5026660202,6,CW,causal,5.8,long,True,2697,360,13.348
8171216955,9,TN,temporal,2.6,long,True,550,75,13.636
3530231811,1,TC,temporal,3.5,long,True,2697,361,13.385
5129152550,0,CW,causal,5.1,long,True,2697,360,13.348
4518113460,6,CW,causal,13.6,long,True,1867,250,13.39
5681946487,2,CH,causal,4.4,long,True,848,114,13.443
