video,arm,budget_pct,seed,n_frames,n_windows,n_gold,n_admitted,M1,M2,M3,note
Arrest039,D_random,30.0,3,15835,1,3121,4750,1.0,0.30278756808715157,0.19894736842105262,
Arrest039,D_random,30.0,4,15835,1,3121,4750,1.0,0.29413649471323294,0.19326315789473683,
Arson007,A_production,10.4287,,6252,1,3451,652,1.0,0.1046073601854535,0.553680981595092,natural retention
Arson007,C_uniform,5.0,,6252,1,3451,312,1.0,0.049840625905534626,0.5512820512820513,
Arson007,D_random,5.0,0,6252,1,3451,312,1.0,0.05186902347145755,0.5737179487179487,
Arson007,D_random,5.0,1,6252,1,3451,312,1.0,0.05331787887568821,0.5897435897435898,
Arson007,D_random,5.0,2,6252,1,3451,312,1.0,0.05244856563314981,0.5801282051282052,
Arson007,D_random,5.0,3,6252,1,3451,312,1.0,0.05013039698638076,0.5544871794871795,
Arson007,D_random,5.0,4,6252,1,3451,312,1.0,0.049550854824688496,0.5480769230769231,
Arson007,C_uniform,10.0,,6252,1,3451,625,1.0,0.09997102289191538,0.552,
Arson007,D_random,10.0,0,6252,1,3451,625,1.0,0.10315850478122283,0.5696,
Arson007,D_random,10.0,1,6252,1,3451,625,1.0,0.10170964937699217,0.5616,
Arson007,D_random,10.0,2,6252,1,3451,625,1.0,0.09968125181106925,0.5504,
Arson007,D_random,10.0,3,6252,1,3451,625,1.0,0.10315850478122283,0.5696,
Arson007,D_random,10.0,4,6252,1,3451,625,1.0,0.09910170964937699,0.5472,
Arson007,C_uniform,10.5,,6252,1,3451,656,1.0,0.10489713126629963,0.551829268292683,
Arson007,D_random,10.5,0,6252,1,3451,656,1.0,0.11040278180237613,0.5807926829268293,
Arson007,D_random,10.5,1,6252,1,3451,656,1.0,0.10576644450883801,0.5564024390243902,
Arson007,D_random,10.5,2,6252,1,3451,656,1.0,0.10489713126629963,0.551829268292683,
Arson007,D_random,10.5,3,6252,1,3451,656,1.0,0.10605621558968414,0.5579268292682927,
Arson007,D_random,10.5,4,6252,1,3451,656,1.0,0.10431758910460737,0.5487804878048781,
Arson007,C_uniform,20.0,,6252,1,3451,1250,1.0,0.19994204578383076,0.552,
Arson007,D_random,20.0,0,6252,1,3451,1250,1.0,0.20689655172413793,0.5712,
Arson007,D_random,20.0,1,6252,1,3451,1250,1.0,0.2039988409156766,0.5632,
Arson007,D_random,20.0,2,6252,1,3451,1250,1.0,0.20081135902636918,0.5544,
Arson007,D_random,20.0,3,6252,1,3451,1250,1.0,0.19762387713706173,0.5456,
Arson007,D_random,20.0,4,6252,1,3451,1250,1.0,0.2011011301072153,0.5552,
Arson007,C_uniform,30.0,,6252,1,3451,1875,1.0,0.29962329759490003,0.5514666666666667,
Arson007,D_random,30.0,0,6252,1,3451,1875,1.0,0.31092436974789917,0.5722666666666667,
Arson007,D_random,30.0,1,6252,1,3451,1875,1.0,0.2909301651695161,0.5354666666666666,
Arson007,D_random,30.0,2,6252,1,3451,1875,1.0,0.2999130686757462,0.552,
Arson007,D_random,30.0,3,6252,1,3451,1875,1.0,0.292958562735439,0.5392,
Arson007,D_random,30.0,4,6252,1,3451,1875,1.0,0.29933352651405387,0.5509333333333334,
Arson009,A_production,11.0363,,743,1,96,82,1.0,0.125,0.14634146341463414,natural retention
Arson009,C_uniform,5.0,,743,1,96,37,1.0,0.052083333333333336,0.13513513513513514,
Arson009,D_random,5.0,0,743,1,96,37,1.0,0.010416666666666666,0.02702702702702703,
Arson009,D_random,5.0,1,743,1,96,37,1.0,0.0625,0.16216216216216217,
Arson009,D_random,5.0,2,743,1,96,37,1.0,0.052083333333333336,0.13513513513513514,
Arson009,D_random,5.0,3,743,1,96,37,1.0,0.0625,0.16216216216216217,
Arson009,D_random,5.0,4,743,1,96,37,1.0,0.041666666666666664,0.10810810810810811,
Arson009,C_uniform,10.0,,743,1,96,74,1.0,0.10416666666666667,0.13513513513513514,
Arson009,D_random,10.0,0,743,1,96,74,1.0,0.09375,0.12162162162162163,
Arson009,D_random,10.0,1,743,1,96,74,1.0,0.10416666666666667,0.13513513513513514,
