auc_all_frames_propagated,class,n_frames_decoded,n_positive_frames,n_spans,per_frame_csv,retention_pct,video_name
,Normal,4993,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_246_x264.csv,10.414580412577608,Normal_Videos_246_x264.mp4
,Normal,8211,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_247_x264.csv,10.400682011935208,Normal_Videos_247_x264.mp4
,Normal,1140,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_248_x264.csv,10.43859649122807,Normal_Videos_248_x264.mp4
,Normal,405,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_251_x264.csv,10.617283950617283,Normal_Videos_251_x264.mp4
,Normal,863,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_289_x264.csv,10.544611819235225,Normal_Videos_289_x264.mp4
,Normal,2518,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_310_x264.csv,10.444797458300238,Normal_Videos_310_x264.mp4
,Normal,1261,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_312_x264.csv,10.467882632831087,Normal_Videos_312_x264.mp4
,Normal,929,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_317_x264.csv,10.441334768568353,Normal_Videos_317_x264.mp4
,Normal,209,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_345_x264.csv,10.526315789473685,Normal_Videos_345_x264.mp4
,Normal,5403,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_352_x264.csv,10.420136960947621,Normal_Videos_352_x264.mp4
,Normal,984,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_360_x264.csv,10.467479674796747,Normal_Videos_360_x264.mp4
,Normal,6626,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_365_x264.csv,10.413522487171747,Normal_Videos_365_x264.mp4
,Normal,1626,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_401_x264.csv,10.45510455104551,Normal_Videos_401_x264.mp4
,Normal,1077,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_417_x264.csv,10.492107706592387,Normal_Videos_417_x264.mp4
,Normal,4226,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_439_x264.csv,10.411736867013724,Normal_Videos_439_x264.mp4
,Normal,443,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_452_x264.csv,10.835214446952596,Normal_Videos_452_x264.mp4
,Normal,5322,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_453_x264.csv,10.428410372040586,Normal_Videos_453_x264.mp4
,Normal,4502,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_478_x264.csv,10.439804531319414,Normal_Videos_478_x264.mp4
,Normal,11275,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_576_x264.csv,10.412416851441241,Normal_Videos_576_x264.mp4
,Normal,2229,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_597_x264.csv,10.40825482279049,Normal_Videos_597_x264.mp4
,Normal,3277,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_603_x264.csv,10.436374732987488,Normal_Videos_603_x264.mp4
,Normal,1233,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_606_x264.csv,10.46228710462287,Normal_Videos_606_x264.mp4
,Normal,4802,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_621_x264.csv,10.433152852977926,Normal_Videos_621_x264.mp4
,Normal,13459,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_634_x264.csv,10.401961512742403,Normal_Videos_634_x264.mp4
,Normal,3600,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_641_x264.csv,10.416666666666666,Normal_Videos_641_x264.mp4
,Normal,1815,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_656_x264.csv,10.46831955922865,Normal_Videos_656_x264.mp4
,Normal,2410,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_686_x264.csv,10.4149377593361,Normal_Videos_686_x264.mp4
,Normal,3625,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_696_x264.csv,10.455172413793104,Normal_Videos_696_x264.mp4
,Normal,2523,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_702_x264.csv,10.463733650416172,Normal_Videos_702_x264.mp4
,Normal,1694,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_704_x264.csv,10.50767414403778,Normal_Videos_704_x264.mp4
,Normal,1797,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_710_x264.csv,10.461880912632164,Normal_Videos_710_x264.mp4
,Normal,1255,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_717_x264.csv,10.51792828685259,Normal_Videos_717_x264.mp4
,Normal,8731,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_722_x264.csv,10.445538884434773,Normal_Videos_722_x264.mp4
,Normal,920,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_725_x264.csv,10.434782608695652,Normal_Videos_725_x264.mp4
,Normal,305,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_745_x264.csv,10.819672131147541,Normal_Videos_745_x264.mp4
,Normal,1589,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_758_x264.csv,10.446821900566395,Normal_Videos_758_x264.mp4
,Normal,1262,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_778_x264.csv,11.251980982567353,Normal_Videos_778_x264.mp4
,Normal,2021,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_780_x264.csv,10.440376051459673,Normal_Videos_780_x264.mp4
,Normal,3975,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_781_x264.csv,10.415094339622641,Normal_Videos_781_x264.mp4
,Normal,5543,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_782_x264.csv,10.427566299837633,Normal_Videos_782_x264.mp4
,Normal,9590,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_783_x264.csv,10.40667361835245,Normal_Videos_783_x264.mp4
,Normal,6001,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_798_x264.csv,10.41493084485919,Normal_Videos_798_x264.mp4
,Normal,2744,0,0,tuning\ucfcrime_vad_exp1\per_frame_ground_truth_scores\Normal_Videos_801_x264.csv,10.459183673469388,Normal_Videos_801_x264.mp4
