auc_stageA_plus_B_50_50,auc_stageB_alone,class,n_frames,n_graph_nodes,retention_pct_graph_nodes,video_name
,,Normal,908,95,10.462555066079295,Normal_Videos_904_x264.mp4
,,Normal,1196,126,10.535117056856187,Normal_Videos_905_x264.mp4
,,Normal,676,71,10.502958579881657,Normal_Videos_906_x264.mp4
,,Normal,598,63,10.535117056856187,Normal_Videos_907_x264.mp4
,,Normal,889,93,10.46119235095613,Normal_Videos_908_x264.mp4
,,Normal,870,91,10.459770114942529,Normal_Videos_909_x264.mp4
,,Normal,567,60,10.582010582010582,Normal_Videos_910_x264.mp4
,,Normal,776,82,10.56701030927835,Normal_Videos_911_x264.mp4
,,Normal,746,78,10.455764075067025,Normal_Videos_912_x264.mp4
,,Normal,609,64,10.50903119868637,Normal_Videos_913_x264.mp4
,,Normal,880,92,10.454545454545455,Normal_Videos_914_x264.mp4
,,Normal,1245,130,10.441767068273093,Normal_Videos_915_x264.mp4
,,Normal,18224,1896,10.403863037752414,Normal_Videos_923_x264.mp4
,,Normal,107997,11233,10.401214848560608,Normal_Videos_924_x264.mp4
,,Normal,7726,806,10.432306497540772,Normal_Videos_925_x264.mp4
,,Normal,1796,188,10.46770601336303,Normal_Videos_926_x264.mp4
,,Normal,1633,171,10.471524800979791,Normal_Videos_927_x264.mp4
,,Normal,918,96,10.457516339869281,Normal_Videos_928_x264.mp4
,,Normal,924,97,10.497835497835498,Normal_Videos_929_x264.mp4
,,Normal,3187,332,10.417320363978662,Normal_Videos_930_x264.mp4
,,Normal,1765,185,10.48158640226629,Normal_Videos_931_x264.mp4
,,Normal,1784,187,10.48206278026906,Normal_Videos_932_x264.mp4
,,Normal,1771,185,10.446075663466967,Normal_Videos_933_x264.mp4
,,Normal,1765,185,10.48158640226629,Normal_Videos_934_x264.mp4
,,Normal,107994,11232,10.400577809878326,Normal_Videos_935_x264.mp4
,,Normal,1150,120,10.434782608695652,Normal_Videos_936_x264.mp4
,,Normal,1150,120,10.434782608695652,Normal_Videos_937_x264.mp4
,,Normal,4827,503,10.420551066915268,Normal_Videos_938_x264.mp4
,,Normal,801,84,10.486891385767791,Normal_Videos_939_x264.mp4
,,Normal,36017,3747,10.403420606935613,Normal_Videos_940_x264.mp4
,,Normal,2020,211,10.445544554455445,Normal_Videos_941_x264.mp4
,,Normal,1020,107,10.490196078431373,Normal_Videos_943_x264.mp4
,,Normal,7170,746,10.404463040446304,Normal_Videos_944_x264.mp4
