video,qid,ppr_lambda,any_in_gold,iop,iou
5237219621,5,0.5,True,0.32877,0.21108
4378803532,7,0.5,True,0.0,0.0
6201488511,0,0.5,True,0.81818,0.81818
5875242364,7,0.5,True,0.52729,0.51788
8557532213,1,0.5,True,0.39923,0.14708
9565310990,1,0.5,True,0.118,0.07131
2868183184,1,0.5,False,0.0,0.0
10042935613,10,0.5,True,0.9527,0.70951
5662041273,5,0.5,True,0.70563,0.70563
4838113006,8,0.5,False,0.0,0.0
5533380417,1,0.5,True,1.0,0.2103
7571121368,6,0.5,False,0.0,0.0
7531285946,9,0.5,True,1.0,0.14966
3388598772,5,0.5,False,0.05413,0.02848
3477387686,5,0.5,True,0.0,0.0
3655906094,7,0.5,False,0.0,0.0
5349766264,6,0.5,True,1.0,0.05619
5056964274,7,0.5,True,0.0,0.0
5116088152,4,0.5,False,0.0,0.0
7088595057,9,0.5,False,0.0,0.0
7728559968,3,0.5,True,1.0,0.2
3345608051,8,0.5,False,0.0,0.0
3429509208,7,0.5,True,0.2354,0.16534
6031805098,4,0.5,True,1.0,0.11579
5902452647,4,0.5,False,0.0,0.0
4603484665,7,0.5,True,0.66668,0.50001
3477387686,6,0.5,True,0.75,0.75
4336654741,1,0.5,False,0.0,0.0
10042935613,3,0.5,True,0.90724,0.56159
4024008346,0,0.5,True,1.0,0.5092
8495272210,6,0.5,True,0.91872,0.35281
2679328607,2,0.5,True,1.0,0.47826
6642268693,5,0.5,False,0.0,0.0
4164771889,3,0.5,True,0.87438,0.76142
3026084730,2,0.5,False,0.0,0.0
8740703217,6,0.5,False,0.0,0.0
8024853715,1,0.5,True,0.52149,0.45841
8557532213,7,0.5,True,0.36455,0.20575
6806999702,8,0.5,False,0.0,0.0
10127533784,6,0.5,False,0.0,0.0
3897746373,9,0.5,False,0.0,0.0
3026084730,6,0.5,True,0.0,0.0
4896969617,9,0.5,True,0.31818,0.31818
7453733046,4,0.5,True,0.53211,0.4289
5134317883,7,0.5,False,0.0,0.0
4626085492,1,0.5,False,0.0,0.0
4272084125,10,0.5,True,0.65623,0.34322
5945172741,7,0.5,True,0.0,0.0
4146348376,0,0.5,True,1.0,0.60274
2679328607,11,0.5,True,0.11636,0.07025
2696280239,9,0.5,False,0.41888,0.33775
4542882771,3,0.5,False,0.03778,0.01128
9612838272,3,0.5,True,0.53551,0.51856
5328616848,2,0.5,True,1.0,0.48889
7416295940,0,0.5,False,0.0,0.0
4857781123,2,0.5,False,0.0,0.0
2925298951,9,0.5,False,0.0,0.0
5919180502,0,0.5,True,0.0,0.0
8464056582,2,0.5,False,0.0,0.0
5427285434,1,0.5,True,1.0,0.39286
9088819598,0,0.5,False,0.0,0.0
5766018720,3,0.5,True,0.50037,0.32385
4164771889,1,0.5,True,0.22557,0.1377
3719793245,3,0.5,False,0.0,0.0
6896884547,5,0.5,True,0.87417,0.84467
2697261300,4,0.5,True,0.74232,0.34259
7536230796,2,0.5,True,0.77462,0.34112
3105728894,7,0.5,False,0.0,0.0
8557532213,4,0.5,True,0.0,0.0
11566980553,8,0.5,False,0.0,0.0
4636208292,3,0.5,False,0.0,0.0
6582763207,5,0.5,False,0.0,0.0
6297019062,3,0.5,False,0.0,0.0
4798585428,1,0.5,True,0.38636,0.38636
5607805258,1,0.5,True,1.0,0.176
4626085492,9,0.5,False,0.0,0.0
8277866423,3,0.5,False,0.0,0.0
2925298951,1,0.5,False,0.41227,0.29677
6592821115,11,0.5,False,0.0,0.0
4968805923,5,0.5,True,0.86295,0.72977
3763643225,8,0.5,True,0.58957,0.55124
4006608424,2,0.5,False,0.0,0.0
7331927796,8,0.5,False,0.01221,0.00952
14003541505,5,0.5,False,0.0,0.0
5801184682,0,0.5,False,0.0,0.0
5173770364,1,0.5,False,0.0,0.0
5349766264,9,0.5,False,0.0,0.0
7331927796,3,0.5,True,0.0,0.0
2782658657,6,0.5,False,0.0,0.0
2834146886,0,0.5,True,1.0,0.91667
5635265624,9,0.5,True,0.30664,0.22299
7571121368,8,0.5,False,0.0,0.0
5875535585,0,0.5,False,0.0,0.0
4123915842,5,0.5,False,0.0,0.0
7059877301,2,0.5,False,0.0,0.0
5902452647,2,0.5,False,0.0,0.0
11681746823,6,0.5,True,0.91125,0.89289
8457210773,7,0.5,False,0.13636,0.07895
3524939594,7,0.5,True,0.0,0.0
3456030972,2,0.5,True,1.0,0.26994
4164771889,7,0.5,False,0.0,0.0
8627074061,8,0.5,False,0.0,0.0
2971556305,5,0.5,False,0.0,0.0
4336654741,6,0.5,False,0.0,0.0
9304738817,4,0.5,True,0.0,0.0
2442307875,6,0.5,False,0.0,0.0
3233088823,6,0.5,False,0.0,0.0
8811725760,3,0.5,False,0.0,0.0
5427285434,2,0.5,True,0.1457,0.04286
9917882506,2,0.5,False,0.0,0.0
4024008346,7,0.5,False,0.0,0.0
5328004991,0,0.5,True,1.0,0.47826
5875535585,6,0.5,False,0.0,0.0
3263908208,5,0.5,True,1.0,0.36975
8740703217,5,0.5,True,0.0,0.0
6356067859,0,0.5,True,0.40087,0.35733
7149153537,3,0.5,False,0.48591,0.42236
7605329840,7,0.5,True,0.28462,0.22574
11966080214,3,0.5,False,0.0,0.0
2726497009,2,0.5,True,0.0,0.0
6727904179,0,0.5,True,1.0,0.4692
5296635780,1,0.5,True,0.72255,0.13931
2736413196,0,0.5,True,0.0,0.0
4036955771,7,0.5,False,0.0,0.0
2976913210,5,0.5,True,0.0,0.0
5349766264,2,0.5,False,0.0,0.0
2731071928,6,0.5,False,0.31977,0.16185
8428551576,2,0.5,True,0.0,0.0
3345608051,5,0.5,True,0.0,0.0
5056964274,8,0.5,True,1.0,0.82608
4798585428,4,0.5,False,0.0,0.0
2973331780,3,0.5,True,1.0,0.51163
4984331176,6,0.5,False,0.66301,0.61482
5133787349,1,0.5,False,0.0,0.0
2990321092,7,0.5,True,0.58623,0.50373
3427674558,6,0.5,False,0.0,0.0
4859057828,0,0.5,True,0.0,0.0
2957808913,6,0.5,True,0.68068,0.42153
2401167740,7,0.5,False,0.13364,0.0917
5256928210,7,0.5,True,1.0,0.22111
7988210561,4,0.5,True,0.91765,0.52016
6097994550,4,0.5,True,1.0,0.65672
6762389913,4,0.5,False,0.0,0.0
2584172238,7,0.5,True,0.03886,0.00959
4244817395,1,0.5,False,0.0,0.0
4935987905,2,0.5,True,0.54158,0.34955
6168295272,9,0.5,True,0.15405,0.13497
4765717907,8,0.5,False,0.0,0.0
5467727317,2,0.5,True,1.0,0.10837
8604794910,2,0.5,True,0.1488,0.05928
4542882771,7,0.5,True,0.0,0.0
8107573462,1,0.5,False,0.0,0.0
4276006683,8,0.5,False,0.0,0.0
8313365386,7,0.5,True,1.0,0.63768
4336654741,2,0.5,True,0.7975,0.30805
3321261856,7,0.5,True,0.275,0.06918
7771650716,4,0.5,True,0.32835,0.19122
11541421563,7,0.5,False,0.0,0.0
8171216955,8,0.5,False,0.0,0.0
6443512089,7,0.5,False,0.0,0.0
5145526755,4,0.5,False,0.0,0.0
6621511673,5,0.5,False,0.0,0.0
5913180144,4,0.5,False,0.0,0.0
5801184682,4,0.5,True,1.0,0.34375
6024684644,3,0.5,False,0.34467,0.27657
5349969207,5,0.5,True,1.0,0.58667
5134317883,9,0.5,False,0.0,0.0
6143391925,6,0.5,False,0.0,0.0
4075791856,3,0.5,False,0.0,0.0
6183104292,2,0.5,True,0.0,0.0
7416295940,8,0.5,False,0.0,0.0
4688219212,1,0.5,True,0.0,0.0
6239210933,1,0.5,False,0.0,0.0
3897746373,4,0.5,True,0.0,0.0
2973331780,8,0.5,True,1.0,0.63768
3078294001,4,0.5,True,1.0,0.74297
8188651630,6,0.5,False,0.0,0.0
7536230796,0,0.5,False,0.0,0.0
8277866423,8,0.5,True,0.75,0.75
3376544720,5,0.5,False,0.19866,0.13603
3359075894,8,0.5,False,0.0,0.0
5913180144,6,0.5,False,0.0,0.0
12392885583,8,0.5,False,0.0,0.0
3861485381,7,0.5,False,0.0,0.0
4444192938,3,0.5,False,0.0,0.0
3107742409,4,0.5,False,0.0,0.0
4263096481,7,0.5,False,0.08841,0.02945
4333544549,0,0.5,True,1.0,0.17188
2833209794,2,0.5,False,0.08405,0.05261
6516459343,0,0.5,False,0.0,0.0
5433090067,6,0.5,False,0.0,0.0
5138093706,2,0.5,True,0.0,0.0
3741143820,7,0.5,False,0.0,0.0
2833209794,8,0.5,True,0.0,0.0
4420239986,0,0.5,True,0.0,0.0
5133787349,7,0.5,True,0.0,0.0
5056964274,5,0.5,False,0.0,0.0
5766018720,2,0.5,False,0.0,0.0
4626085492,7,0.5,False,0.0,0.0
4123915842,1,0.5,True,0.52386,0.14321
5521781780,7,0.5,True,1.0,0.0534
2705374471,4,0.5,True,0.66296,0.66296
7453733046,10,0.5,True,0.0,0.0
3198533789,9,0.5,False,0.0,0.0
3441428429,6,0.5,False,0.0,0.0
3830567237,2,0.5,True,0.0,0.0
5681946487,8,0.5,True,0.0,0.0
5498331490,5,0.5,True,1.0,0.06206
2726497009,3,0.5,True,0.0,0.0
5607805258,0,0.5,True,1.0,0.36066
8505893258,1,0.5,False,0.0,0.0
10001787725,1,0.5,False,0.0,0.0
3049351381,4,0.5,False,0.0,0.0
2442307875,3,0.5,True,0.61364,0.45
3804148568,6,0.5,False,0.0,0.0
6772999108,9,0.5,True,0.0,0.0
