arm,query_mode,traversal,scope,metric,value,n
A,none,none,gold_width=5-10s,mean_ppr_calls,1.0,731
A,none,none,gold_width=5-10s,max_ppr_calls,1,731
A,none,none,gold_width=5-10s,avg_context_frames,4.0,731
A,none,none,gold_width=5-10s,max_context_frames_observed,4,731
A,none,none,gold_width=>=10s,n,551,551
A,none,none,gold_width=>=10s,gold_frame_at_4,0.7604355716878403,551
A,none,none,gold_width=>=10s,anchor_in_gold_at_1,0.5462794918330308,551
A,none,none,gold_width=>=10s,mIoP,0.5638651742286751,551
A,none,none,gold_width=>=10s,mIoU,0.13722691833030853,551
A,none,none,gold_width=>=10s,IoP@0.3,0.6079854809437386,551
A,none,none,gold_width=>=10s,IoP@0.5,0.5716878402903811,551
A,none,none,gold_width=>=10s,IoU@0.3,0.15970961887477314,551
A,none,none,gold_width=>=10s,IoU@0.5,0.010889292196007259,551
A,none,none,gold_width=>=10s,zero_width_count,0,551
A,none,none,gold_width=>=10s,zero_width_rate,0.0,551
A,none,none,gold_width=>=10s,invalid_span_count,0,551
A,none,none,gold_width=>=10s,mean_pred_span_width,4.3182163339382935,551
A,none,none,gold_width=>=10s,median_retrieval_ms,3.827,551
A,none,none,gold_width=>=10s,p95_retrieval_ms,4.8234,551
A,none,none,gold_width=>=10s,mean_ppr_calls,1.0,551
A,none,none,gold_width=>=10s,max_ppr_calls,1,551
A,none,none,gold_width=>=10s,avg_context_frames,4.0,551
A,none,none,gold_width=>=10s,max_context_frames_observed,4,551
B,legacy,none,overall,n,2685,2685
B,legacy,none,overall,gold_frame_at_4,0.5340782122905028,2685
B,legacy,none,overall,anchor_in_gold_at_1,0.29869646182495346,2685
B,legacy,none,overall,mIoP,0.2907097653631285,2685
B,legacy,none,overall,mIoU,0.15640680782122904,2685
B,legacy,none,overall,IoP@0.3,0.3649906890130354,2685
B,legacy,none,overall,IoP@0.5,0.2957169459962756,2685
B,legacy,none,overall,IoU@0.3,0.23649906890130354,2685
B,legacy,none,overall,IoU@0.5,0.11731843575418995,2685
B,legacy,none,overall,zero_width_count,0,2685
B,legacy,none,overall,zero_width_rate,0.0,2685
B,legacy,none,overall,invalid_span_count,0,2685
B,legacy,none,overall,mean_pred_span_width,4.274957616387337,2685
B,legacy,none,overall,median_retrieval_ms,14.598,2685
B,legacy,none,overall,p95_retrieval_ms,19.8624,2685
B,legacy,none,overall,mean_ppr_calls,3.9325884543761638,2685
B,legacy,none,overall,max_ppr_calls,5,2685
