video,qid,backbone,approx_retrieved_in_gold,top1_in_gold
4822859674,5,control_clip_vit_b32,False,False
7330294814,7,control_clip_vit_b32,False,False
7330294814,2,control_clip_vit_b32,True,True
7330294814,5,control_clip_vit_b32,False,False
7330294814,1,control_clip_vit_b32,True,False
7330294814,3,control_clip_vit_b32,True,True
7330294814,6,control_clip_vit_b32,True,False
7330294814,8,control_clip_vit_b32,False,False
7330294814,0,control_clip_vit_b32,True,True
7651639778,7,control_clip_vit_b32,True,False
7651639778,1,control_clip_vit_b32,False,False
7651639778,2,control_clip_vit_b32,True,False
7651639778,0,control_clip_vit_b32,True,True
7651639778,5,control_clip_vit_b32,True,True
7651639778,3,control_clip_vit_b32,False,False
7651639778,6,control_clip_vit_b32,False,False
7651639778,4,control_clip_vit_b32,True,False
9256409422,7,control_clip_vit_b32,False,False
9256409422,8,control_clip_vit_b32,True,False
9256409422,2,control_clip_vit_b32,True,True
9256409422,6,control_clip_vit_b32,False,False
9256409422,5,control_clip_vit_b32,False,False
9256409422,9,control_clip_vit_b32,True,True
9256409422,3,control_clip_vit_b32,False,False
9256409422,1,control_clip_vit_b32,False,False
10727696143,4,control_clip_vit_b32,False,False
10727696143,5,control_clip_vit_b32,False,False
10727696143,1,control_clip_vit_b32,True,False
10727696143,8,control_clip_vit_b32,False,False
10727696143,6,control_clip_vit_b32,False,False
10727696143,7,control_clip_vit_b32,False,False
10727696143,0,control_clip_vit_b32,True,False
11276567104,3,control_clip_vit_b32,True,False
11276567104,8,control_clip_vit_b32,False,False
11276567104,6,control_clip_vit_b32,True,False
11276567104,0,control_clip_vit_b32,True,True
11276567104,1,control_clip_vit_b32,True,True
11276567104,4,control_clip_vit_b32,True,False
11276567104,5,control_clip_vit_b32,False,False
11565498775,2,siglip2_base_patch16_224,False,False
11565498775,8,siglip2_base_patch16_224,True,False
11565498775,7,siglip2_base_patch16_224,True,True
11565498775,1,siglip2_base_patch16_224,False,False
11565498775,11,siglip2_base_patch16_224,True,True
11565498775,6,siglip2_base_patch16_224,False,False
11565498775,4,siglip2_base_patch16_224,False,False
11565498775,5,siglip2_base_patch16_224,False,False
11565498775,10,siglip2_base_patch16_224,False,False
11565498775,0,siglip2_base_patch16_224,True,True
11565498775,9,siglip2_base_patch16_224,False,False
11565498775,3,siglip2_base_patch16_224,False,False
4179163342,12,siglip2_base_patch16_224,False,False
4179163342,4,siglip2_base_patch16_224,False,False
4179163342,11,siglip2_base_patch16_224,True,False
4179163342,5,siglip2_base_patch16_224,True,True
4179163342,10,siglip2_base_patch16_224,True,True
4179163342,2,siglip2_base_patch16_224,True,True
4179163342,9,siglip2_base_patch16_224,False,False
4179163342,0,siglip2_base_patch16_224,True,False
4179163342,3,siglip2_base_patch16_224,True,True
4179163342,1,siglip2_base_patch16_224,True,True
4179163342,8,siglip2_base_patch16_224,True,True
4635309062,11,siglip2_base_patch16_224,True,True
4635309062,0,siglip2_base_patch16_224,False,False
4635309062,6,siglip2_base_patch16_224,True,False
4635309062,1,siglip2_base_patch16_224,True,True
4635309062,7,siglip2_base_patch16_224,True,True
4635309062,9,siglip2_base_patch16_224,True,True
4635309062,5,siglip2_base_patch16_224,True,True
4635309062,8,siglip2_base_patch16_224,True,True
4635309062,2,siglip2_base_patch16_224,True,True
4635309062,3,siglip2_base_patch16_224,False,False
4635309062,4,siglip2_base_patch16_224,True,False
6793786769,5,siglip2_base_patch16_224,True,True
6793786769,8,siglip2_base_patch16_224,False,False
6793786769,6,siglip2_base_patch16_224,False,False
6793786769,10,siglip2_base_patch16_224,True,True
6793786769,3,siglip2_base_patch16_224,False,False
6793786769,11,siglip2_base_patch16_224,True,False
6793786769,7,siglip2_base_patch16_224,False,False
6793786769,0,siglip2_base_patch16_224,True,True
6793786769,2,siglip2_base_patch16_224,True,False
6793786769,4,siglip2_base_patch16_224,False,False
6793786769,1,siglip2_base_patch16_224,True,False
5586394125,9,siglip2_base_patch16_224,False,False
5586394125,5,siglip2_base_patch16_224,True,False
5586394125,8,siglip2_base_patch16_224,False,False
5586394125,7,siglip2_base_patch16_224,True,True
5586394125,3,siglip2_base_patch16_224,False,False
5586394125,0,siglip2_base_patch16_224,False,False
5586394125,6,siglip2_base_patch16_224,True,True
5586394125,2,siglip2_base_patch16_224,False,False
5586394125,4,siglip2_base_patch16_224,False,False
