video,qid,ppr_lambda,any_in_gold,top1_in_gold,anchor_in_gold,iop,iou
4757890069,1,0.5,True,False,False,0.0,0.0
4279106208,4,0.5,True,False,True,0.38636,0.38636
11276567104,3,0.5,True,False,True,0.93182,0.53947
8990144134,0,0.5,True,False,True,0.58435,0.4411
8208035645,3,0.5,True,False,False,0.33873,0.23621
4273039295,6,0.5,True,True,False,0.31818,0.18182
9208803675,1,0.5,False,False,False,0.0,0.0
7651639778,5,0.5,False,False,False,0.0,0.0
4273039295,9,0.5,True,False,False,0.40909,0.21951
11565498775,1,0.5,True,True,True,0.68117,0.12698
7499763064,0,0.5,True,False,True,0.77729,0.74676
7651639778,3,0.5,False,False,False,0.0,0.0
11565498775,11,0.5,True,False,True,0.5461,0.36422
3066064005,6,0.5,True,True,False,0.35843,0.12018
6793786769,2,0.5,False,False,False,0.0,0.0
9256409422,5,0.5,False,False,False,0.0,0.0
3124551255,6,0.5,True,False,True,0.54545,0.54545
7651639778,6,0.5,False,False,False,0.0,0.0
4658396458,2,0.5,False,False,False,0.0,0.0
10109097475,2,0.5,False,False,False,0.0,0.0
5586394125,7,0.5,True,True,True,0.84047,0.29599
9208803675,0,0.5,False,False,False,0.0,0.0
5047408177,4,0.5,True,True,False,0.0,0.0
5877508141,3,0.5,False,False,False,0.0,0.0
3469864014,2,0.5,True,True,True,0.50059,0.33386
7508439506,9,0.5,True,True,True,0.81798,0.81798
3784543730,3,0.5,True,True,True,1.0,0.25
6617533993,8,0.5,True,False,True,1.0,0.59459
6163877860,4,0.5,False,False,False,0.0,0.0
10109097475,1,0.5,False,False,False,0.0,0.0
8990144134,5,0.5,False,False,False,0.0,0.0
4013751996,1,0.5,False,False,False,0.17291,0.10657
9873067604,3,0.5,True,False,False,0.0,0.0
3935853204,1,0.5,True,True,True,0.54545,0.54545
3851961428,2,0.5,False,False,False,0.0,0.0
4179163342,2,0.5,True,True,True,1.0,0.38261
11587211476,2,0.5,False,False,False,0.31707,0.14229
6096998186,4,0.5,False,False,False,0.0,0.0
8252088130,2,0.5,True,True,True,1.0,0.42718
10727696143,8,0.5,False,False,False,0.0,0.0
4635309062,9,0.5,False,False,False,0.0,0.0
11565498775,6,0.5,True,True,False,0.0,0.0
2547885226,1,0.5,True,True,True,0.25,0.25
3502722122,3,0.5,True,True,True,0.6,0.56652
4087013668,1,0.5,False,False,False,0.02468,0.01326
5658916668,7,0.5,True,False,False,0.39823,0.3853
9208803675,4,0.5,False,False,False,0.0,0.0
3469864014,0,0.5,True,True,True,1.0,0.91895
8547321641,3,0.5,True,False,True,0.61939,0.61939
5889898795,2,0.5,False,False,False,0.0,0.0
5840177726,2,0.5,True,True,False,0.18334,0.11215
9528990839,0,0.5,False,False,False,0.0,0.0
6136926089,1,0.5,True,True,False,0.0,0.0
4658396458,5,0.5,False,False,False,0.0,0.0
3124551255,10,0.5,False,False,False,0.0,0.0
8312058649,4,0.5,False,False,False,0.49053,0.36325
8177965766,5,0.5,False,False,False,0.0,0.0
3249402410,3,0.5,False,False,False,0.0,0.0
6136926089,7,0.5,True,False,False,0.0,0.0
4822859674,0,0.5,True,True,False,0.0,0.0
4087013668,2,0.5,True,True,True,1.0,0.13056
10597533885,2,0.5,True,True,False,0.0,0.0
4626535366,9,0.5,True,False,True,0.6238,0.43878
6136926089,2,0.5,False,False,False,0.19133,0.12644
5323654756,8,0.5,True,True,True,1.0,0.06509
2716277960,5,0.5,True,True,True,0.71,0.39665
3452354871,9,0.5,False,False,False,0.0,0.0
3249402410,2,0.5,True,True,True,0.56873,0.47236
7887764754,7,0.5,True,False,True,0.52273,0.52273
3562017845,1,0.5,False,False,False,0.0,0.0
8547321641,0,0.5,True,True,True,0.43182,0.43182
2716277960,1,0.5,True,True,True,0.71,0.39665
2821968703,1,0.5,True,True,True,0.76666,0.7452
5323654756,5,0.5,True,True,True,1.0,0.06647
11276567104,8,0.5,False,False,False,0.0,0.0
2821968703,6,0.5,True,True,True,1.0,0.66667
11565498775,4,0.5,False,False,False,0.0,0.0
9735768590,9,0.5,False,False,False,0.0,0.0
3452354871,3,0.5,False,False,False,0.0467,0.03164
4136617240,6,0.5,False,False,False,0.0,0.0
4179163342,9,0.5,False,False,False,0.0,0.0
4626535366,1,0.5,False,False,False,0.0,0.0
10727696143,6,0.5,False,False,False,0.0,0.0
4126010904,4,0.5,False,False,False,0.0,0.0
4822859674,3,0.5,False,False,False,0.0,0.0
11276567104,6,0.5,True,False,False,0.35,0.29845
3452354871,0,0.5,True,True,False,0.13477,0.07226
13884293626,7,0.5,False,False,False,0.0,0.0
6329077812,3,0.5,False,False,False,0.0,0.0
7691172922,5,0.5,False,False,False,0.0,0.0
6617533993,9,0.5,True,False,False,0.0,0.0
2835125654,0,0.5,True,True,True,0.76239,0.76239
11587211476,6,0.5,True,False,False,0.0,0.0
4635309062,5,0.5,False,False,False,0.0,0.0
2885091387,8,0.5,True,False,False,0.28848,0.04876
4123211145,4,0.5,True,False,False,0.0,0.0
6096998186,2,0.5,False,False,False,0.0,0.0
3452354871,2,0.5,False,False,False,0.0,0.0
5863411262,1,0.5,True,False,False,0.0,0.0
3843551232,5,0.5,False,False,False,0.0,0.0
2835125654,4,0.5,True,True,True,1.0,0.48352
10727696143,7,0.5,False,False,False,0.06673,0.03492
4179163342,0,0.5,True,True,True,0.81491,0.3114
6205856607,0,0.5,True,False,False,0.48954,0.38838
4983922034,1,0.5,False,False,False,0.29455,0.26978
5658916668,8,0.5,True,True,True,0.62533,0.51442
5603283408,4,0.5,True,True,True,1.0,0.14103
3939145327,4,0.5,False,False,False,0.0,0.0
5323654756,2,0.5,False,False,False,0.0,0.0
4782722858,4,0.5,False,False,False,0.0,0.0
9528990839,8,0.5,False,False,False,0.37879,0.33784
7330294814,6,0.5,True,False,False,0.0,0.0
3471421544,2,0.5,True,False,False,0.0,0.0
8594309349,3,0.5,True,True,True,0.87311,0.82469
5008618500,5,0.5,True,False,True,0.27273,0.27273
8254300526,6,0.5,True,False,False,0.11111,0.01161
7508439506,0,0.5,True,True,True,0.74169,0.66107
9528990839,2,0.5,False,False,False,0.0,0.0
8752043000,1,0.5,True,False,False,0.0,0.0
4179163342,3,0.5,True,True,True,0.65456,0.6234
2482028659,7,0.5,True,True,True,1.0,0.33846
3939145327,8,0.5,True,False,False,0.0,0.0
9256409422,9,0.5,True,True,True,0.94877,0.90253
2920952624,8,0.5,True,True,True,0.84846,0.65879
5352022985,6,0.5,True,False,False,0.0,0.0
7691172922,2,0.5,False,False,False,0.0,0.0
5877508141,5,0.5,True,False,True,1.0,0.42308
5048503508,5,0.5,True,True,True,0.95295,0.70984
8594309349,1,0.5,True,True,True,1.0,0.4003
5658916668,2,0.5,False,False,False,0.0,0.0
4635309062,8,0.5,True,True,True,1.0,0.13793
3595273118,0,0.5,True,False,False,0.0,0.0
4782722858,6,0.5,False,False,False,0.0,0.0
5863411262,4,0.5,True,False,False,0.41962,0.11871
4087654898,1,0.5,False,False,False,0.0,0.0
13515224395,0,0.5,True,True,True,0.76133,0.30592
2482028659,2,0.5,True,True,True,1.0,0.35772
4126010904,2,0.5,False,False,False,0.0,0.0
6136926089,5,0.5,True,True,True,1.0,0.86275
3452354871,6,0.5,True,True,False,0.22185,0.10039
9735768590,8,0.5,True,True,False,0.0,0.0
8208035645,5,0.5,True,True,False,0.0,0.0
5352022985,1,0.5,True,True,True,0.88864,0.75337
3784543730,7,0.5,True,True,True,1.0,0.25
5926256714,5,0.5,False,False,False,0.0,0.0
7499763064,6,0.5,True,False,False,0.0,0.0
8252088130,3,0.5,False,False,False,0.0,0.0
5352022985,5,0.5,True,True,False,0.0,0.0
4658396458,6,0.5,True,False,True,1.0,0.42718
2510696559,5,0.5,False,False,False,0.0,0.0
4983922034,0,0.5,True,True,True,0.57479,0.39083
7887764754,4,0.5,False,False,False,0.0,0.0
5352022985,4,0.5,False,False,False,0.0,0.0
5586394125,3,0.5,True,False,False,0.0,0.0
5586394125,0,0.5,False,False,False,0.0,0.0
11565498775,5,0.5,True,False,False,0.0,0.0
3843551232,3,0.5,False,False,False,0.0,0.0
4013751996,8,0.5,False,False,False,0.0,0.0
6096998186,0,0.5,True,True,True,1.0,0.45564
2716277960,8,0.5,True,False,False,0.0,0.0
4087013668,4,0.5,True,True,True,1.0,0.57895
4279106208,9,0.5,False,False,False,0.0,0.0
6617533993,6,0.5,False,False,False,0.20644,0.1151
3489439407,4,0.5,False,False,False,0.0,0.0
9873067604,7,0.5,True,False,False,0.0,0.0
5323654756,0,0.5,False,False,False,0.35027,0.09088
