K,lambda,method,mIoP,IoP@0.3,IoP@0.5,mIoU,IoU@0.3,IoU@0.5,n_scored,method_c_fallback_rate,method_b_zero_width_rate,method_d_zero_width_rate,method_d_clip_fallback_rate
12,0.9,A,0.26348,0.30317,0.17803,0.22703,0.27709,0.14525,2685,,,,
12,0.9,B,0.31032,0.35829,0.30801,0.13839,0.19665,0.11285,2685,,0.03017,,
12,0.9,C,0.29858,0.34078,0.29758,0.10184,0.13222,0.06294,2685,0.0,,,
12,0.9,D,0.29814,0.36983,0.29944,0.16155,0.24134,0.12216,2685,,,0.0,0.0
12,1.0,A,0.26284,0.30168,0.17765,0.22632,0.27523,0.14488,2685,,,,
12,1.0,B,0.31142,0.35978,0.30987,0.13803,0.19814,0.11248,2685,,0.03277,,
12,1.0,C,0.29858,0.34078,0.29758,0.10184,0.13222,0.06294,2685,0.0,,,
12,1.0,D,0.29814,0.36983,0.29944,0.16155,0.24134,0.12216,2685,,,0.0,0.0
16,0.0,A,0.26215,0.3054,0.18175,0.22356,0.27672,0.14227,2685,,,,
16,0.0,B,0.30454,0.35866,0.29832,0.14401,0.20819,0.11397,2685,,0.04134,,
16,0.0,C,0.3043,0.34637,0.30428,0.10525,0.13557,0.06592,2685,0.0,,,
16,0.0,D,0.30369,0.37728,0.30466,0.16585,0.25028,0.12775,2685,,,0.0,0.0
16,0.1,A,0.26024,0.30019,0.17728,0.2233,0.27486,0.14153,2685,,,,
16,0.1,B,0.307,0.3635,0.29981,0.14662,0.21006,0.11806,2685,,0.03873,,
16,0.1,C,0.30448,0.34711,0.30577,0.10493,0.13669,0.06443,2685,0.0,,,
16,0.1,D,0.30401,0.37803,0.30503,0.16603,0.24879,0.12737,2685,,,0.0,0.0
16,0.25,A,0.26043,0.29907,0.17654,0.22488,0.27374,0.14413,2685,,,,
16,0.25,B,0.30382,0.36313,0.29311,0.14894,0.21378,0.11881,2685,,0.03464,,
16,0.25,C,0.30188,0.34413,0.30205,0.10319,0.13557,0.06145,2685,0.0,,,
16,0.25,D,0.3001,0.36983,0.30019,0.1631,0.24395,0.12402,2685,,,0.0,0.0
16,0.5,A,0.25992,0.29721,0.17169,0.22724,0.27374,0.14376,2685,,,,
16,0.5,B,0.30605,0.36648,0.29609,0.15452,0.22533,0.12514,2685,,0.01639,,
16,0.5,C,0.3008,0.34264,0.30019,0.10358,0.13557,0.06518,2685,0.0,,,
16,0.5,D,0.29981,0.37132,0.3013,0.1629,0.24358,0.12328,2685,,,0.0,0.0
16,0.75,A,0.25995,0.29721,0.17281,0.22732,0.27523,0.14227,2685,,,,
16,0.75,B,0.30791,0.3676,0.30093,0.15352,0.22197,0.12551,2685,,0.01117,,
16,0.75,C,0.29871,0.34115,0.29795,0.10193,0.13259,0.06294,2685,0.0,,,
16,0.75,D,0.29817,0.36983,0.29944,0.1616,0.24134,0.12216,2685,,,0.0,0.0
16,0.9,A,0.26046,0.29795,0.17318,0.22743,0.27374,0.14339,2685,,,,
16,0.9,B,0.30967,0.36797,0.30577,0.15172,0.21862,0.12477,2685,,0.01266,,
16,0.9,C,0.29871,0.34115,0.29795,0.10193,0.13259,0.06294,2685,0.0,,,
16,0.9,D,0.29817,0.36983,0.29944,0.1616,0.24134,0.12216,2685,,,0.0,0.0
16,1.0,A,0.26121,0.2987,0.17542,0.22857,0.27449,0.14488,2685,,,,
16,1.0,B,0.31117,0.36983,0.30875,0.1527,0.21899,0.127,2685,,0.01415,,
16,1.0,C,0.29871,0.34115,0.29795,0.10193,0.13259,0.06294,2685,0.0,,,
16,1.0,D,0.29817,0.36983,0.29944,0.1616,0.24134,0.12216,2685,,,0.0,0.0
